"date","invocationclass","region","runtime","artifactsize","memorysize","median_daily_duration"
"2020-06-12","cold","ap-northeast-2","java11","small","512","505"
"2020-05-14","warm-one","us-west-2","java8","large","512","19"
"2020-05-27","cool","ap-northeast-2","java8","large","512","31"
"2020-06-20","cool","sa-east-1","java11","large","1536","33"
"2020-06-21","cool","eu-west-2","java8","largeuberjar","512","28"
"2020-05-25","cool","eu-west-2","java8","small","512","31"
"2020-06-22","cold","eu-central-1","java8","large","3008","1041"
"2020-05-14","warm-one","ap-northeast-2","java11","small","512","16"
"2020-06-11","warm-two","eu-west-1","python38","small","1536","18"
"2020-05-11","cool","ap-northeast-1","java8","large","512","47"
"2020-06-13","cold","eu-north-1","java8","large","3008","878"
"2020-05-24","warm-one","eu-west-2","java8","small","3008","18"
"2020-06-13","cool","us-east-1","python38","small","1536","32"
"2020-06-20","warm-one","eu-west-3","java11","small","512","16"
"2020-05-14","cool","us-east-2","java11","small","512","27"
"2020-05-14","warm-two","us-east-1","java11","large","1536","23"
"2020-06-23","cold","ap-northeast-2","java8","large","3008","898"
"2020-05-30","warm-one","ap-northeast-1","python38","small","1536","23"
"2020-05-15","cold","ap-southeast-1","python38","small","1536","238"
"2020-05-16","warm-one","eu-north-1","java8","small","1536","18"
"2020-05-24","cool","us-west-1","java8","largeuberjar","512","31"
"2020-05-11","warm-two","eu-west-2","java8","largeuberjar","512","18"
"2020-05-09","cold","us-west-1","java11","large","3008","859"
"2020-05-27","cool","eu-central-1","java11","small","3008","32"
"2020-06-22","warm-one","us-east-2","java11","small","512","20"
"2020-05-24","warm-two","us-west-1","java8","large","3008","16"
"2020-05-25","warm-two","ap-northeast-1","python38","small","1536","30"
"2020-05-20","warm-one","eu-west-3","java8","large","512","15"
"2020-05-27","warm-two","eu-north-1","java8","small","3008","23"
"2020-05-09","warm-one","ap-south-1","python38","small","1536","16"
"2020-06-13","warm-one","eu-west-3","java11","small","1536","16"
"2020-06-23","cold","ap-southeast-2","java8","large","512","1006"
"2020-06-18","cool","eu-west-2","java8","large","3008","31"
"2020-05-21","cool","eu-west-3","java8","large","512","31"
"2020-06-09","cool","us-east-1","java11","large","1536","34"
"2020-06-18","cool","us-east-2","java11","small","1536","27"
"2020-05-17","warm-two","ap-southeast-2","java11","large","512","25"
"2020-06-01","cold","ap-south-1","java8","large","3008","794"
"2020-06-21","cold","us-west-2","java11","small","512","527"
"2020-05-16","warm-one","us-east-2","java8","large","3008","19"
"2020-05-25","warm-two","ap-southeast-1","java8","small","512","22"
"2020-06-22","cold","ap-southeast-2","java11","large","1536","976"
"2020-06-11","cold","us-east-1","java11","small","3008","455"
"2020-05-25","cool","sa-east-1","java11","small","512","40"
"2020-06-15","cold","us-west-1","java11","large","1536","913"
"2020-05-25","cold","ap-southeast-1","java8","largeuberjar","512","826"
"2020-06-10","cool","sa-east-1","java11","large","3008","39"
"2020-05-15","cold","eu-north-1","java8","small","1536","638"
"2020-05-14","cold","ap-northeast-1","python38","small","1536","278"
"2020-06-27","cold","ap-southeast-2","java8","small","512","658"
"2020-06-15","cool","eu-central-1","java11","small","1536","35"
"2020-05-22","warm-one","us-east-2","java11","large","1536","18"
"2020-06-11","cold","ap-northeast-1","python38","small","1536","268"
"2020-05-26","cool","ap-south-1","java11","large","512","30"
"2020-06-21","cold","us-west-1","java8","small","3008","559"
"2020-06-20","warm-one","ap-northeast-1","java8","large","3008","23"
"2020-06-21","cold","eu-west-1","java11","large","3008","861"
"2020-05-14","warm-two","ap-northeast-2","java8","large","512","23"
"2020-05-26","warm-one","us-east-1","java8","large","512","19"
"2020-05-20","cool","ap-southeast-1","java8","large","512","33"
"2020-05-24","warm-two","sa-east-1","java11","large","1536","24"
"2020-05-09","cold","ap-southeast-1","java8","largeuberjar","512","836"
"2020-06-23","warm-one","ap-northeast-1","java8","largeuberjar","512","22"
"2020-05-30","cold","us-east-2","java11","large","3008","840"
"2020-06-27","warm-two","ap-northeast-2","java8","large","1536","21"
"2020-05-30","warm-one","eu-west-2","java8","largeuberjar","512","18"
"2020-05-09","warm-two","ap-northeast-1","java8","large","512","31"
"2020-05-09","cold","sa-east-1","java11","large","3008","1297"
"2020-06-20","cold","eu-central-1","python38","small","1536","234"
"2020-05-24","cool","us-east-1","java8","small","3008","32"
"2020-06-16","cool","us-east-1","java8","small","512","41"
